_id,ジャンルID,ジャンル階層名,商品属性定義詳細グループ
64fec5ddf6969c5e728f97af,505047,CD・DVD>Blu-ray>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97b0,553651,CD・DVD>Blu-ray>アイドル,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97b1,101348,CD・DVD>ビデオ>アニメ>オリジナルアニメ>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97b2,200685,CD・DVD>ビデオ>アニメ>キッズアニメ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97b3,101949,CD・DVD>ビデオ>アニメ>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97b4,200706,CD・DVD>ビデオ>TVドキュメンタリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97b5,200625,CD・DVD>ビデオ>趣味・実用・教養,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97b6,200626,CD・DVD>ビデオ>アイドル,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97b7,101946,CD・DVD>ビデオ>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97b8,200570,CD・DVD>LD>洋画>アクション,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97b9,200566,CD・DVD>LD>洋画>ヒューマン,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97ba,200565,CD・DVD>LD>洋画>ロマンス・ラブストーリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97bb,200564,CD・DVD>LD>洋画>サスペンス・ミステリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97bc,200572,CD・DVD>LD>洋画>コメディー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97bd,200573,CD・DVD>LD>洋画>ホラー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97be,200568,CD・DVD>LD>洋画>SF,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97bf,200577,CD・DVD>LD>洋画>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97c0,200578,CD・DVD>LD>邦画>邦映画,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97c1,200579,CD・DVD>LD>邦画>邦画ドラマ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97c2,200580,CD・DVD>LD>邦画>邦画アクション（Vシネマ）,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97c3,200581,CD・DVD>LD>邦画>ホラー・SF,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97c4,200582,CD・DVD>LD>邦画>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97c5,200583,CD・DVD>LD>アニメ>オリジナルアニメ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97c6,200584,CD・DVD>LD>アニメ>キッズアニメ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97c7,200585,CD・DVD>LD>アニメ>特撮ヒーロー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97c8,200587,CD・DVD>LD>アニメ>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97c9,200561,CD・DVD>LD>趣味・実用・教養,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97ca,200726,CD・DVD>LD>アイドル,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97cb,200562,CD・DVD>LD>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97cc,200694,CD・DVD>ビデオ>アニメ>オリジナルアニメ>コミック,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97cd,505043,CD・DVD>Blu-ray>趣味・実用・教養>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97ce,200693,CD・DVD>ビデオ>アニメ>オリジナルアニメ>ヒロイン,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97cf,200691,CD・DVD>ビデオ>アニメ>オリジナルアニメ>学園青春,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97d0,553665,CD・DVD>Blu-ray>キッズ・ファミリー>子供番組,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97d1,553667,CD・DVD>Blu-ray>キッズ・ファミリー>乗り物,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97d2,553668,CD・DVD>Blu-ray>キッズ・ファミリー>動物,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97d3,505045,CD・DVD>Blu-ray>キッズ・ファミリー>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97d4,553488,CD・DVD>Blu-ray>洋画>コメディー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97d5,200630,CD・DVD>ビデオ>洋画>アクション,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97d6,101342,CD・DVD>ビデオ>洋画>ヒューマン,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97d7,101340,CD・DVD>ビデオ>洋画>ロマンス・ラブストーリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97d8,101339,CD・DVD>ビデオ>洋画>サスペンス・ミステリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97d9,101337,CD・DVD>ビデオ>洋画>コメディー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97da,200631,CD・DVD>ビデオ>洋画>ホラー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97db,200629,CD・DVD>ビデオ>洋画>SF,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97dc,200633,CD・DVD>ビデオ>洋画>文芸・史劇・伝記,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97dd,200632,CD・DVD>ビデオ>洋画>ミュージカル,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97de,101947,CD・DVD>ビデオ>洋画>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97df,200658,CD・DVD>ビデオ>邦画>アクション,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97e0,101345,CD・DVD>ビデオ>邦画>ヒューマン,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97e1,200668,CD・DVD>ビデオ>邦画>ロマンス・ラブストーリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97e2,200665,CD・DVD>ビデオ>邦画>サスペンス・ミステリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97e3,200664,CD・DVD>ビデオ>邦画>コメディー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97e4,564134,CD・DVD>ビデオ>アニメ>劇場版,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97e5,200662,CD・DVD>ビデオ>邦画>文芸・史劇,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97e6,101948,CD・DVD>ビデオ>邦画>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97e7,200667,CD・DVD>ビデオ>TVドラマ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97e8,200705,CD・DVD>ビデオ>お笑い・バラエティー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97e9,200688,CD・DVD>ビデオ>アニメ>オリジナルアニメ>SFロボット,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97ea,200689,CD・DVD>ビデオ>アニメ>オリジナルアニメ>ヒーローアクション,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97eb,200692,CD・DVD>ビデオ>アニメ>オリジナルアニメ>スポーツ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97ec,553489,CD・DVD>Blu-ray>洋画>サスペンス・ミステリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97ed,200686,CD・DVD>ビデオ>特撮ヒーロー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97ee,553493,CD・DVD>Blu-ray>洋画>ヒューマン,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97ef,508012,CD・DVD>DVD>邦画>ミュージカル,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97f0,508007,CD・DVD>DVD>邦画>青春,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97f1,508010,CD・DVD>DVD>邦画>仁侠,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97f2,101952,CD・DVD>DVD>邦画>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97f3,553470,CD・DVD>DVD>アジア・韓国>韓国,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97f4,400014,CD・DVD>DVD>アジア・韓国>アクション,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97f5,400011,CD・DVD>DVD>アジア・韓国>ヒューマン,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97f6,400010,CD・DVD>DVD>アジア・韓国>ロマンス・ラブストーリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97f7,400009,CD・DVD>DVD>アジア・韓国>サスペンス・ミステリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97f8,400016,CD・DVD>DVD>アジア・韓国>コメディー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97f9,400017,CD・DVD>DVD>アジア・韓国>ホラー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97fa,400012,CD・DVD>DVD>アジア・韓国>SF,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97fb,508009,CD・DVD>DVD>邦画>ファンタジー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97fc,508003,CD・DVD>DVD>アジア・韓国>ドキュメンタリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97fd,507996,CD・DVD>DVD>アジア・韓国>スポーツ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97fe,507997,CD・DVD>DVD>アジア・韓国>ファンタジー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97ff,508000,CD・DVD>DVD>アジア・韓国>ミュージカル,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9800,508001,CD・DVD>DVD>アジア・韓国>史劇,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9801,507998,CD・DVD>DVD>アジア・韓国>ギャング・マフィア,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9802,101367,CD・DVD>DVD>アジア・韓国>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9803,400021,CD・DVD>DVD>TVドラマ>日本>アクション,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9804,400024,CD・DVD>DVD>TVドラマ>日本>ヒューマン,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9805,400025,CD・DVD>DVD>TVドラマ>日本>ロマンス・ラブストーリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9806,400022,CD・DVD>DVD>TVドラマ>日本>サスペンス・ミステリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9807,508017,CD・DVD>DVD>TVドラマ>日本>コメディー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9808,508018,CD・DVD>DVD>TVドラマ>日本>青春,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9809,400013,CD・DVD>DVD>アジア・韓国>戦争,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f980a,508008,CD・DVD>DVD>邦画>スポーツ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f980b,300335,CD・DVD>DVD>邦画>時代劇,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f980c,300333,CD・DVD>DVD>邦画>戦争,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f980d,553496,CD・DVD>Blu-ray>洋画>ロマンス・ラブストーリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f980e,101361,CD・DVD>DVD>洋画>アクション,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f980f,101368,CD・DVD>DVD>洋画>ヒューマン,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9810,101366,CD・DVD>DVD>洋画>ロマンス・ラブストーリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9811,101365,CD・DVD>DVD>洋画>サスペンス・ミステリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9812,101363,CD・DVD>DVD>洋画>コメディー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9813,101360,CD・DVD>DVD>洋画>ホラー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9814,563971,CD・DVD>DVD>洋画>アニメ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9815,101369,CD・DVD>DVD>洋画>SF,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9816,507993,CD・DVD>DVD>洋画>ドキュメンタリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9817,101359,CD・DVD>DVD>洋画>戦争,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9818,101362,CD・DVD>DVD>洋画>西部劇,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9819,507985,CD・DVD>DVD>洋画>スポーツ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f981a,507986,CD・DVD>DVD>洋画>ファンタジー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f981b,507989,CD・DVD>DVD>洋画>ミュージカル,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f981c,507990,CD・DVD>DVD>洋画>史劇,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f981d,507984,CD・DVD>DVD>洋画>青春,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f981e,507987,CD・DVD>DVD>洋画>ギャング・マフィア,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f981f,101951,CD・DVD>DVD>洋画>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9820,101371,CD・DVD>DVD>邦画>アクション,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9821,300332,CD・DVD>DVD>邦画>ヒューマン,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9822,300331,CD・DVD>DVD>邦画>ロマンス・ラブストーリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9823,300330,CD・DVD>DVD>邦画>サスペンス・ミステリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9824,300334,CD・DVD>DVD>邦画>コメディー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9825,200554,CD・DVD>DVD>邦画>ホラー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9826,508005,CD・DVD>DVD>邦画>SF,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9827,508015,CD・DVD>DVD>邦画>ドキュメンタリー,DVD・Blu-ray・LD・ビデオ
